timestamp,eval_case,run,model,model_version,input_type,prompt_or_skill_version,schema_version,validation_pass,macro_f1,human_avg,severe_hallucinations,unresolved_count,correction_prompts,notes
2026-08-12,05-orbital-settings,1,claude,opus-4.8,xaml+csharp+design-system,design-understanding.md v0.1,0.1.0,true,0.6051,4.0,0,1,0,"Manual-prompt pass, same-session as gold (not blind). Re-scored vs gold v1.1 with scorer 0.1.1 (was 0.4907 vs gold v1.0/exact-question matching). Missed: PageHeader search, Cleared dialog, entrance state, header-as-component"
2026-08-12,05-orbital-settings,2,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.1,0.1.0,true,0.9742,4.6,0,3,0,"Stage-4 SKILL pass vs gold v1.1 (scorer 0.1.1). Same-author contamination: upper bound, not blind stability. Caught everything run 1 missed (header component, search, dialog, entrance state). Extras: 3 declared tokens (emerald-500, text-50, text-72) + 5 uses-token edges — token-rules coverage calibration question"
2026-08-12,05-orbital-settings,3,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.1 (blind),0.1.0,true,0.0985,,0,5,0,"Blind run1 (fresh context, no gold). 88n/129e. Hallucination proxy false-flag: both triggers edges real, ids drifted"
2026-08-12,05-orbital-settings,4,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.1 (blind),0.1.0,true,0.0602,,0,6,0,"Blind run2. 85n/118e. Same two real behaviors, drifted ids"
2026-08-12,05-orbital-settings,5,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.1 (blind),0.1.0,true,0.0651,,0,5,0,"Blind run3. 89n/134e. Same two real behaviors, drifted ids"
2026-08-12,05-orbital-settings,6,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.1 (blind),0.1.0,true,0.0593,,0,5,0,"Blind run4. 90n/134e. Style-level button states modeled (systematic granularity drift)"
2026-08-12,05-orbital-settings,7,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.1 (blind),0.1.0,true,0.0620,,0,5,0,"Blind run5. 90n/137e. Pairwise mean macro F1 across runs 0.4467; 48 concepts identical in all 5 runs"
2026-08-12,05-orbital-settings,8,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.2993,,0,4,0,"Blind-v2 run1 vs gold v1.2 scorer 0.2.0. 72n/121e. State altitude held; naming vocabulary converged"
2026-08-12,05-orbital-settings,9,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.1994,,0,3,0,"Blind-v2 run2. 74n/121e. uses-token inflation (66 edges) is the main residual drift"
2026-08-12,05-orbital-settings,10,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.2179,,0,4,0,"Blind-v2 run3. 74n/121e"
2026-08-12,05-orbital-settings,11,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.3100,,0,5,0,"Blind-v2 run4. 81n/128e. Partial unresolved credit vs gold"
2026-08-12,05-orbital-settings,12,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.2530,,0,4,0,"Blind-v2 run5. 68n/138e. v0.1->v0.2 same-scorer deltas: vs-gold macro 0.114->0.256, node-id F1 0.154->0.484, singletons 72->30, style-level states eliminated"
2026-08-12,05-orbital-settings,13,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3118,,0,3,0,"Blind-v4 run1 vs gold v1.3 scorer 0.3.0. 60n/95e, 46 mapped. uno triple F1 0.641, value recall 0.881"
2026-08-12,05-orbital-settings,14,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3640,,0,3,0,"Blind-v4 run2. 57n/98e. uno 0.653, value recall 0.857"
2026-08-12,05-orbital-settings,15,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3060,,0,4,0,"Blind-v4 run3. 61n/94e. uno 0.641, value recall 0.881"
2026-08-12,05-orbital-settings,16,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3124,,0,3,0,"Blind-v4 run4. 60n/97e. uno 0.647, value recall 0.881"
2026-08-12,05-orbital-settings,17,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3150,,0,3,0,"Blind-v4 run5. 60n/95e. uno 0.660, value recall 0.905; dropped clear-recents trigger (4/5 carried both). Pairwise: macro 0.758, node-id 0.929, singletons 9. Residual vs gold = consensus token-wiring altitude (calibration decision pending)"
